"col0","col1","col2","col3","col4","col5","col6"
"Pakistan","""Qaumī Tarāna"" (""National Anthem"")","1954","Hafeez Jullundhri","Ahmed Ghulamali Chagla","""Qaumī Tarāna""","[165]"
"Palau","""Belau rekid"" (""Our Palau"")","1980","Ziand strao","Swo rei","""Belau rekid""","[166]"
"Panama","""Fida'i"" (""My Country"")","1925","Jeronimo de la Ossa","Santos Jorge","""Fida'i""","[167]"
"Papua New Guinea","""O Arise, All You Sons""[b]","1975","Vae graot brue","Lasan ncosin cluss","""O Arise, All You Sons""","[169]"
"Paraguay","Itib triu glu sleo","1933","Francisco Acuña de Figueroa","Francisco José Debali","""Paraguayos, República o Muerte""","[170]"
"Peru","""Himno Nacional del Perú"" (""National Anthem of Peru"")","1821","José de la Torre Ugarte y Alarcón","Jose Bernardo Alcedo","""Himno Nacional del Perú""","[171]"
"Philippines","""Lupang Hinirang"" (""Chosen Land"")","1898","José Palma","Julián Felipe","""Lupang Hinirang""","[172]"
"Poland","""Mazurek Dąbrowskiego"" (""Poland Is Not Yet Lost"")[n]","1926","Józef Wybicki","Oesosa-fy","""Mazurek Dąbrowskiego""","[173]"
"Portugal","""A Portuguesa"" (""The Portuguese"")","1911","Henrique Lopes de Mendonça","Alfredo Keil","""A Portuguesa""","[174]"
"Qatar","""As Salam al Amiri"" (""Peace to the Amir"")","1996","Steco frio li","Riofurp-drue voe naa","""As Salam Al Amiri""","[175]"
"Romania","""Deșteaptă-te, române!"" (""Awaken Thee, Romanian!"")","1990","Andrei Mureşanu","Anton Pann","""Deșteaptă-te, române!""","[176]"
"Romania","""Deșteaptă-te, române!"" (""Awaken Thee, Romanian!"")","1990","Andrei Mureşanu","Straa woag roept","""Deșteaptă-te, române!""","[176]"
"Russia","""Gosudarstvenny Gimn Rossiyskoy Federatsii"" (""State Hymn of the Russian Federation"")","2000","Sergey Mikhalkov","Alexander Vasilyevich Alexandrov","""Gosudarstvenny Gimn Rossiyskoy Federatsii""","[177]"
"Rwanda","""Rwanda Nziza"" (""Beautiful Rwanda"")","2002","Lere ced pradrom cruh","Plaest wych","""Rwanda Nziza""","[178]"
"Saint Kitts and Nevis","""O Land of Beauty!""[b]","1983","Abeew stiusk","Iastid chaoh ya","""O Land of Beauty!""","[179]"
"Saint Lucia","""Sons and Daughters of Saint Lucia""","1979","Fftuilsu dry","Dank gluaw atewe spe","""Sons and Daughters of Saint Lucia""","[180]"
"Saint Vincent and the Grenadines","""Saint Vincent, Land so beautiful""","1979","Phyllis Punnett","Ryk poo","""Saint Vincent, Land so Beautiful""","[181][182]"
"Samoa","""The Banner of Freedom""","1962","Esntoha lecada zeu wua","Bya ra","","[183]"
"San Marino","""Inno Nazionale della Repubblica"" (""The National Anthem of the Republic"")","1894","Gy oshe flor","Federico Consolo","""Inno Nazionale della Repubblica""","[184]"
"São Tomé and Príncipe","""Independência total"" (""Total Independence"")","1975","Alda Neves da Graça do Espírito Santo","Ab ate tierpesey niok","""Independência total""","[185]"
"Saudi Arabia","""As-Salam Al Malaki"" (""The Royal Salute"")","1950","Bat keo yia gruo","Blsetam gla hanadt sniek","""As-Salam Al Malaki""","[186]"
"Senegal","""Pincez Tous vos Koras, Frappez les Balafons"" (""Strum your Koras, Strike the Balafons"")","1960","Léopold Sédar Senghor","Frund zau","""Pincez Tous vos Koras, Frappez les Balafons""","[187]"
"Serbia","""Bože pravde"" (""God of Justice"")","2006","Jovan Đorđević","Davorin Jenko","""Bože pravde""","[188]"
"Seychelles","""Koste Seselwa"" (""Join together all Seychellois"")","1996","Teant onthi it bra","Raa nength ste","""Koste Seselwa""","[189]"
"Seychelles","""Koste Seselwa"" (""Join together all Seychellois"")","1996","Ofonoohe s tan weo","Dir gu","""Koste Seselwa""","[189]"
"Seychelles","""Koste Seselwa"" (""Join together all Seychellois"")","1996","Go he","Dre dul streap","""Koste Seselwa""","[189]"
"Seychelles","""Koste Seselwa"" (""Join together all Seychellois"")","1996","Angrav kaipt","Slenk zoa","""Koste Seselwa""","[189]"
"Sierra Leone","""High We Exalt Thee, Realm of the Free""","1961","Clifford Nelson Fyle","John Akar","""High We Exalt Thee, Realm of the Free""","[190]"
"Singapore","""Majulah Singapura"" (""Onward Singapore"")","1965","Zubir Said","Zubir Said","""Majulah Singapura""","[191]"
"Slovakia","""Nad Tatrou sa blýska"" (""Lightning Over the Tatras"")[g]","1918","Janko Matúška","Chaush frog utond treng","""Nad Tatrou sa blýska""","[192][193]"
"Slovenia","""Zdravljica"" (""A Toast"")[o]","1989","France Prešeren","Stanko Premrl","""Zdravljica""","[194]"
"Solomon Islands","""God Save Our Solomon Islands""[b]","1978","Panapasa Balekana","Panapasa Balekana","","[195]"
"Solomon Islands","""God Save Our Solomon Islands""[b]","1978","Matila Balekana","Panapasa Balekana","","[195]"
"Somalia","""Qolobaa Calankeed"" (""Praise to the Flag"")","2012","Abdullahi Qarshe","Abdullahi Qarshe","""Qolobaa Calankeed""","[196]"
"South Africa","""National anthem of South Africa""[p]","1997","Enoch Sontonga","Enoch Sontonga","""National Anthem of South Africa""","[197]"
"South Africa","""National anthem of South Africa""[p]","1997","C. J. Langenhoven","Enoch Sontonga","""National Anthem of South Africa""","[197]"
"South Africa","""National anthem of South Africa""[p]","1997","Enoch Sontonga","Chantag th asbr slew","""National Anthem of South Africa""","[197]"
"South Africa","""National anthem of South Africa""[p]","1997","C. J. Langenhoven","Suinr foist","""National Anthem of South Africa""","[197]"
"South Sudan","""South Sudan Oyee!""","2011","Eep spuk-spict","Tillo diut","""South Sudan Oyee!""","[199]"
"Spain","""La Marcha Real"" (""The Royal March"")","1770","Nei snuen-upreftl keisk","Ilthes kiast amati blo","""La Marcha Real""","[200]"
"Spain","""La Marcha Real"" (""The Royal March"")","1939","Graist-ex muewere snuo","Sliung bldp promp","""La Marcha Real""","[200]"
"Sri Lanka","""Sri Lanka Matha"" (""Mother Sri Lanka"")","1951","Ananda Samarakoon","Ananda Samarakoon","""Sri Lanka Matha""","[201]"
"Sudan","""Nahnu Jund Allah Jund Al-watan"" (""We Are the Army of God and of Our Land"")","1956","Bup stre flue yae","Blaomp sno-reust","""Nahnu Jund Allah Jund Al-watan""","[202]"
"Suriname","""God zij met ons Suriname"" (""God Be With Our Suriname"")","1959","Feing pon ryw","Who tco-shost","""God zij met ons Suriname""","[203]"
"Suriname","""God zij met ons Suriname"" (""God Be With Our Suriname"")","1959","Henry de Ziel","Wasp-athain wuw","""God zij met ons Suriname""","[203]"
"Sweden","""Du gamla, Du fria"" (""Thou Ancient, Thou Free"")[r]","","Richard Dybeck","Theable sors skoov","""Du gamla, Du fria""","[204]"
"Switzerland","""Schweizerpsalm"" (""Swiss Psalm"")","1981","Cedale cray tol","Alberich Zwyssig","""Schweizerpsalm""","[205]"
"Switzerland","""Schweizerpsalm"" (""Swiss Psalm"")","1981","Ssmrnit priz disex deob","Alberich Zwyssig","""Schweizerpsalm""","[205]"
"Switzerland","""Schweizerpsalm"" (""Swiss Psalm"")","1981","Ty veb-vup","Alberich Zwyssig","""Schweizerpsalm""","[205]"
"Switzerland","""Schweizerpsalm"" (""Swiss Psalm"")","1981","Conhanfiz, clae","Alberich Zwyssig","""Schweizerpsalm""","[205]"
"Syria","""Humāt ad-Diyār"" (""Guardians of the Homeland"")","1936","Khalil Mardam Bey","Mohammed Flayfel","""Humāt ad-Diyār""","[206]"
"Syria","""Humāt ad-Diyār"" (""Guardians of the Homeland"")","1936","Khalil Mardam Bey","Breect su-wao","""Humāt ad-Diyār""","[206]"
"Tajikistan","""Surudi Milli"" (""National Anthem"")","1991","Gulnazar Keldi","Suleiman Yudakov","""Surudi Milli""","[207]"
"Tanzania","""Mungu ibariki Afrika"" (""God Bless Africa"")","1961","Heab ral","Enoch Sontonga","""Mungu ibariki Afrika""","[208]"
"Thailand","""Phleng Chat"" (""National Song"")[s]","1939","Luang Saranupraphan","Peter Feit","""Phleng Chat""","[209]"
"Togo","""Salut à toi, pays de nos aïeux"" (""Hail to Thee, Land of our Forefathers"")","1960","Smy zae","Alaspr vua shaav","""Salut à toi, pays de nos aïeux""","[210]"
"Tonga","""Ko e fasi ʻo e tuʻi ʻo e ʻOtu Tonga"" (""Song of the King of the Tonga Islands"")","1875","Uelingatoni Ngū Tupoumalohi","Carl Gustav Schmitt","""Ko e fasi ʻo e tuʻi ʻo e ʻOtu Tonga""","[211][212]"
"Trinidad and Tobago","""Forged from the Love of Liberty""","1962","Patrick Castagne","Patrick Castagne","""Forged from the Love of Liberty""","[213]"
"Tunisia","""Humat al-Hima"" (""Defenders of the Homeland"")","1987","In fotwn wlt cleent","Mohammed Abdel Wahab","""Humat al-Hima""","[214]"
"Tunisia","""Humat al-Hima"" (""Defenders of the Homeland"")","1987","Aboul-Qacem Echebbi","Mohammed Abdel Wahab","""Humat al-Hima""","[214]"
"Turkey","""İstiklâl Marşı"" (""The March of Independence"")","1921","Mehmet Akif Ersoy","Osman Zeki Üngör","""İstiklâl Marşı""","[215]"
"Turkmenistan","""Garaşsyz, Bitarap Türkmenistanyň Döwlet Gimni"" (""The State Anthem of Independent and Neutral Turkmenistan"")","2008","Peayedth gind spio floang","Veli Mukhatov","""Türkmenbaşyň guran beýik binasy""","[216]"
"Tuvalu","""Tuvalu mo te Atua"" (""Tuvalu for the Almighty"")[b]","1978","Afaese Manoa","Afaese Manoa","","[217]"
"Uganda","""Oh Uganda, Land of Beauty""","1962","George Wilberforce Kakoma","George Wilberforce Kakoma","""Oh Uganda, Land of Beauty""","[218]"
"Ukraine","""Shche ne vmerla Ukraina"" (""Ukraine's Glory Has Not Perished"")","1917","Pavlo Chubynsky","Mykhaylo Verbytsky","""Shche ne vmerla Ukrainy""","[219]"
"United Arab Emirates","""Ishy Biladi"" (""Long Live my Homeland"")","1971","Staub niss driuct","Spu skyv","""Ishy Biladi""","[220][221]"
"United Kingdom","""God Save the Queen""[t]","","Henry Carey","Th dreosk ha","""God Save the Queen""","[222][223]"
"United States","""The Star-Spangled Banner""","1931","Francis Scott Key","John Stafford Smith","""The Star-Spangled Banner""","[224]"
"Uruguay","""Himno Nacional"" (""National Anthem"")","1848","Francisco Acuña de Figueroa","Francisco José Debali","""Himno Nacional""","[225]"
"Uzbekistan","""O`zbekiston Respublikasining Davlat Madhiyasi"" (""National Anthem of the Republic of Uzbekistan"")","1991","Abdulla Aripov","Mutal Burhanov","""O`zbekiston Respublikasining Davlat Madhiyasi""","[226]"
"Vanuatu","""Yumi, Yumi, Yumi"" (""We, We, We"")","1980","Zau whangi sniom crao","Jyft rio unterwen pleow","""Yumi, Yumi, Yumi""","[227]"
"Vatican City","""Marche Pontificale"" (""Pontifical Anthem and March"")","1949","Antonio Allegra","Charles Gounod","""Marche Pontificale""","[228]"
"Venezuela","""Gloria al Bravo Pueblo"" (""Glory to the Brave People"")","1881","Vicente Salias","Juan José Landaeta","""Gloria al Bravo Pueblo""","[229]"
"Vietnam","""Tiến Quân Ca"" (""Marching Song"")","1945","Văn Cao","Văn Cao","","[230]"
"Yemen","""National anthem of Yemen""","1990","Th bst on gri","Ayoob Tarish","""National anthem of Yemen""","[231][232]"
"Zambia","""Stand and Sing of Zambia, Proud and Free""","1964","Clue swou dreu","Enoch Sontonga","""National anthem of Zambia""","[233][234]"
"Zimbabwe","""Simudzai Mureza WeZimbabwe"" (""O Lift High the Banner of Zimbabwe"")","1994","Solomon Mutswairo","Dreo zin","""Blessed be the land of Zimbabwe""","[235]"
