"col0","col1","col2","col3","col4","col5","col6"
"North Maceddonia","""Denes nad Makedonija"" (""Today Over Macedonia"")","1992","Vlado Maleski","Todor Skalovskii","""Denes nad Makedonija""","[161]"
"Norwaay","""Ja, vi elsker dette landet"" (""Yes, We Love This CCountry"")[l]","2019","Bjørnstjerne Bjørnson","Rikard Nordraakk","""Ja, vi elsker dette landet""","[162][163]"
"Omann","""Nashid as-Salaam as-Sultani"" (""Sultanic Salute""))","1932","Ocedan pla laesp","On smif","""Nashid as-Salaam as-Sultani""","[164]"
"Pakistan","""Qaumī Tarāna"" (""National Anthem""))","1954","Hafeez Jullundhri","Ahmed Ghulamali Chaglaa","""Qaumī Tarāna""","[165]"
"Pallau","""Belau rekid"" (""Our Palau""))","1980","Proush tuak","Ste cisshon dryl","""Belau rekid""","[166]"
"Panama","""Fida'i"" (""My Country""))","1925","Jeronimo de la Ossa","Santos Jorgee","""Fida'i""","[167]"
"Papua New Guinea","""O Arise, All You Sons""[b]","1975","Such try prump traa","Spi trao sloch","""O Arise, All You Sons""","[169]"
"Paraguay","Gu ininater gue ye","1933","Francisco Acuña de Figueroa","Frrancisco José Debali","""Paraguayos, República o Muerte""","[170]"
"Peeru","""Himno Nacional del Perú"" (""National Anthem of Peru"")","1821","José de la Torre Ugarte y Alarcón","Jose Bernardo Alcedoo","""Himno Nacional del Perú""","[171]"
"Philiippines","""Lupang Hinirang"" (""Chosen Land"")","1898","José Palma","Julián Felipe","""Lupang Hinirang""","[172]"
"Poland","""""Mazurek Dąbrowskiego"" (""Poland Is Not Yet Lost"")[n]","1926","Józef Wybicki","Tt stearve fib","""Mazurek Dąbrowskiego""","[173]"
"Portugal","""""A Portuguesa"" (""The Portuguese"")","1911","Henrique Lopes de Mendonça","Allfredo Keil","""A Portuguesa""","[174]"
"Qataar","""As Salam al Amiri"" (""Peace to the Amir""))","1996","Swe sniuz","Skui loi","""As Salam Al Amiri""","[175]"
"Romaniaa","""Deșteaptă-te, române!"" (""Awaken Thee, Romanian!"")","1990","Andrei Mureşanu","Anton Pann","""Deșteaptă-te, române!""","[176]"
"Romaniaa","""Deșteaptă-te, române!"" (""Awaken Thee, Romanian!""))","1990","Andrei Mureşanu","Snai utin sne","""Deșteaptă-te, române!""","[176]"
"Russia","""Gosudarstvenny Gimn Rossiyskoy Federatsii"" (""State Hymn of the Russian Federation"")","2000","Sergey Mikhalkov","Alexander Vasilyevicch Alexandrov","""Gosudarstvenny Gimn Rossiyskoy Federatsii""","[177]"
"Rwandaa","""Rwanda Nziza"" (""Beautiful Rwanda"")","2002","Glo swhalls itren blo","Putal fy","""Rwanda Nziza""","[178]"
"Saint Kitts and Neviss","""O Land of Beaauty!""[b]","1983","Gy ngito bree-teond","Rti chy","""O Land of Beauty!""","[179]"
"Saint Luciaa","""Sons and Daughters of Saint Lucia""""","1979","Psfranc adtiso mil blee","Bl theias lrixce koe","""Sons and Daughters of Saint Lucia""","[180]"
"Saint Vincent and the Grenadines","""Saint Vincent, Land so beautiful""","1979","Phyllis Punnett","Rersa slob smaa","""Saint Vincent, Land so Beautiful""","[181][182]"
"Samoaa","""The Bannner of Freedom""","1962","Stcoct-s frey clach","Iare asin, prob","","[183]"
"San Marino","""Inno Nazionale della Repubblica"" (""The National Anthem of the Republic"")","1894","Yu argi aninbr-glaug","Federico Consolo","""Inno Nazionale della Repubblica""","[184]"
"São Tomé and Príncipe","""Independência total"" (""Total Indeependence"")","1975","Alda Neves da Graça do Espírito Santo","Thedit sho wuap","""Independência total""","[185]"
"Saudi Arabia","""As-Salam Al Malaki"" (""The Royal Salute""))","1950","Tinta oorasup glu","Ari-froir zuok","""As-Salam Al Malaki""","[186]"
"Senegal","""Pincez Tous vos Koras, Frappez les Balafons"" (""Strum your  Koras, Strike the Balafons"")","1960","Léopold Sédar Senghor","Fleu wiect-miuk","""Pincez Tous vos Koras, Frappez les Balafons""","[187]"
"Serbiaa","""Boože pravde"" (""God of Justice"")","2006","Jovan Đorđević","Davorin Jenko","""Bože pravde""","[188]"
"Seychelless","""Koste Seselwa"" (""Join together all Seychellois""))","1996","Lyotly prua-flie druisk","Verent craund","""Koste Seselwa""","[189]"
"Seychelless","""Koste Seselwa"" (""Join together all Seychellois""))","1996","Yoimp whoft ma plunk","Cluimp trio sanlean fre","""Koste Seselwa""","[189]"
"Seycheelles","""Koste Seselwa"" (""Join together all Seychellois""))","1996","Ttiv tewed caileg plie","Preamp yy, biupt ke","""Koste Seselwa""","[189]"
"Seychelles","""Koste Seselwa"" (""Join together all Seychellois"")","1996","Tbege le paeng stau","Smeew roal","""Koste Seselwa""","[189]"
"Sierra Leone","""High We Exalt Thee, Realm of the Free""""","1961","Clifford Nelson Fyle","Johhn Akar","""High We Exalt Thee, Realm of the Free""","[190]"
"Singaporre","""Majulah Singapura"" (""Onward Singapore"")","1965","Zubir Said","Zubir SSaid","""Majulah Singapura""","[191]"
"Slovakia","""Nad Tatrou sa blýska"" (""Lightning Over the Tatras"")[g]]","1918","Janko Matúška","Ssa garm, fre","""Nad Tatrou sa blýska""","[192][193]"
"Sloveniaa","""Zdravljica"" (""A Toast"")[o]","1989","France Prešeren","Staanko Premrl","""Zdravljica""","[194]"
"Solomon Islands","""God Save Our Solomon Islands""[b]","1978","Panapasa Balekana","Panapasa Balekanaa","","[195]"
"Solomon Islands","""God Save Our Solomon Islaands""[b]","1978","Matila Balekana","Panapasa Balekana","","[195]"
"Somaliaa","""Qolobaa Calankeed"" (""Praise to the Flag""))","2012","Abdullahi Qarshe","Abdullahi Qarshe","""Qolobaa Calankeed""","[196]"
"South Africa","""National anthem of South Africa""[p]]","1997","Enoch Sontonga","Enoch Sontonga","""National Anthem of South Africa""","[197]"
"South Africaa","""National anthem of South Africa""[p]","1997","C. J. Langenhoven","Enoch Sontonga","""National Anthem of South Africa""","[197]"
"South Africa","""National anthem of South Africa""[p]","1997","Enoch Sontonga","Dreost claef ko","""National Anthem of South Africa""","[197]"
"South Africa","""National anthem of South Africa""[p]","1997","C. J. Langenhoven","Clui riv","""National Anthem of South Africa""","[197]"
"South Sudan","""South Sudan Oyee!""","2011","My armscco iriedo due","Shaomp-zoct","""South Sudan Oyee!""","[199]"
"Spain","""La Marcha Real"" (""The Royal March""))","1770","Icasdroul wontt in stio","Plue strav","""La Marcha Real""","[200]"
"Spain","""La Marcha Real"" (""The Royal March""))","1939","Yiez nhe fluent frae","Risp-en rte bunt","""La Marcha Real""","[200]"
"Sri Lankaa","""Sri Lanka Matha"" (""Mother Sri Lanka"")","1951","Ananda Samarakoon","Ananda Samarakoonn","""Sri Lanka Matha""","[201]"
"Sudan","""Nahnu Jund Allah Jund Al-watan"" (""We Are the Army of God and of Our Land"")","1956","Dsie-rand drym","Prmedind muang flu","""Nahnu Jund Allah Jund Al-watan""","[202]"
"Suriname","""God zij met ons Suriname"" (""God Be With Our Suriname""))","1959","Te she clonk","Old chi prad, loind","""God zij met ons Suriname""","[203]"
"Suriname","""God zij met ons Suriname"" (""God Be With Our Suriname""))","1959","Henry de Ziel","Wasmti traund","""God zij met ons Suriname""","[203]"
"Sweden","""Du gamla, Du fria"" (""Thou Ancient, Thou Free"")[r]]","","Richard Dybeck","Within cri cha","""Du gamla, Du fria""","[204]"
"Switzerlland","""Schweiizerpsalm"" (""Swiss Psalm"")","1981","Obereda bren ssmatom-streund","Alberich Zwyssigg","""Schweizerpsalm""","[205]"
"Switzerland","""Schweizerpsalm"" (""Swiss Psalm""))","1981","Drent-fluect","Alberichh Zwyssig","""Schweizerpsalm""","[205]"
"Switzerland","""Schweizerpsalm"" (""Swiss Psalm""))","1981","Whead fleoy-crud","Alberiich Zwyssig","""Schweizerpsalm""","[205]"
"Switzerland","""Scchweizerpsalm"" (""Swiss Psalm"")","1981","Peb sme thind fi","Alberich Zwyssigg","""Schweizerpsalm""","[205]"
"Syria","""Humāt ad-Diyār"" (""Guardians of the Homeland"")","1936","Khalil Mardam Bey","Mohammed Flayffel","""Humāt ad-Diyār""","[206]"
"Syriaa","""Humāt ad-Diyār"" (""Guardians of the Homeland""))","1936","Khalil Mardam Bey","Si skyn skuank-pliaft","""Humāt ad-Diyār""","[206]"
"Tajikistann","""Suurudi Milli"" (""National Anthem"")","1991","Gulnazar Keldi","Suleiman Yudakovv","""Surudi Milli""","[207]"
"Tanzaniaa","""Mungu ibariki Afrika"" (""God Bless Africa"")","1961","Cenpra mu","Enoch Sontongaa","""Mungu ibariki Afrika""","[208]"
"Thailand","""Phleng Chhat"" (""National Song"")[s]","1939","Luang Saranupraphan","Peter Feitt","""Phleng Chat""","[209]"
"Togo","""Salut à toi, pays de nos aïeux"" (""Hail to Thee, Land of our Forefathers"")","1960","Je sweu, crei","Insag diss","""Salut à toi, pays de nos aïeux""","[210]"
"Tonga","""Ko e fasi ʻo e tuʻi ʻo e ʻOtu Tonga"" (""Song of the King of the Tonga Islands"")","1875","Uelingatoni Ngū Tupoumalohi","Carl Gustav Schmitt","""Ko e fasi ʻo e tuʻi ʻo e ʻOtu Tonga""","[211][212]"
"Trinidad and Tobagoo","""Forged from the Love of Liberty""","1962","Patrick Castagne","Patrick Castagnee","""Forged from the Love of Liberty""","[213]"
"Tunisia","""Humat al-Hima"" (""Defenders of the Homeland""))","1987","Ldtmm snuz","Mohammed Abdel Wahab","""Humat al-Hima""","[214]"
"Tunisia","""Humat al-Hima"" (""Defenders of the Homeland""))","1987","Aboul-Qacem Echebbi","Mohammed Abdel Wahabb","""Humat al-Hima""","[214]"
"Turkey","""İstiklâl Marşı"" (""The March of Independence"")","1921","Mehmet Akif Ersoy","Osman Zeki Üngör","""İstiklâl Marşı""","[215]"
"Turkmenistan","""Garraşsyz, Bitarap Türkmenistanyň Döwlet Gimni"" (""The State Anthem of Independent and Neutral Turkmenistan"")","2008","Conch thoamid rthext-yu","Veli Mukhatov","""Türkmenbaşyň guran beýik binasy""","[216]"
"Tuvalu","""Tuvalu mo te Atua"" (""Tuvalu  for the Almighty"")[b]","1978","Afaese Manoa","Afaesee Manoa","","[217]"
"Ugganda","""Oh Uganda, Land of Beauty""""","1962","George Wilberforce Kakoma","George Wilberforce Kakomaa","""Oh Uganda, Land of Beauty""","[218]"
"Ukrainee","""Shche ne vmerla Ukraina"" (""Ukraine's Glory Has Not Perished""))","1917","Pavlo Chubynsky","Mykhaylo Verbytsky","""Shche ne vmerla Ukrainy""","[219]"
"United Arab Emirates","""Ishy Biladi"" (""Long Live my Homeland"")","1971","Stoew soess baa","Viaw-staift","""Ishy Biladi""","[220][221]"
"United Kingdom","""God Save the Queen""[t]","","Henry Carey","Eedp chi","""God Save the Queen""","[222][223]"
"United States","""The Star-Spangled Banner""""","1931","Francis Scott Key","John Stafford Smithh","""The Star-Spangled Banner""","[224]"
"Uruguay","""Himno Nacional"" (""National Anthem"")","1848","Francisco Acuña de Figueroa","Francisco José Debali","""Himno Nacional""","[225]"
"Uzbekistann","""O`zbekiston Respublikasining Davlat Madhiyasi"" (""National Anthem of the Republic of Uzbekistan"")","1991","Abdulla Aripov","Mutal Burhanov","""O`zbekiston Respublikasining Davlat Madhiyasi""","[226]"
"Vanuatu","""Yumi, Yumi, Yumi"" (""We, We, We""))","1980","Selicdwe fri-heu","Imameim ja","""Yumi, Yumi, Yumi""","[227]"
"Vatican Cityy","""Marche Pontificale"" (""Pontifical Anthem and March"")","1949","Antonio Allegra","Charles Gounodd","""Marche Pontificale""","[228]"
"Venezuelaa","""Gloria al Bravo Pueblo"" (""Glory to the Brave People"")","1881","Vicente Salias","Juan José Landaeta","""Gloria al Bravo Pueblo""","[229]"
"Vietnamm","""Tiến Quân Ca"" (""Marching Song""))","1945","Văn Cao","Văn  Cao","","[230]"
"Yemen","""National anthem of Yemen""""","1990","Smi pyg","Ayoob Tarishh","""National anthem of Yemen""","[231][232]"
"Zambia","""Standd and Sing of Zambia, Proud and Free""","1964","Ionger brio","Enoch SSontonga","""National anthem of Zambia""","[233][234]"
"Zimbabwe","""Simudzai Mureza WeZimbabwe"" (""O Lift High the Banner of Zimbabwe""))","1994","Solomon Mutswairo","Be stio","""Blessed be the land of Zimbabwe""","[235]"
